/* The Number of Nodes */
15
/* The Size of the Map */
35
/* The maximum Flight Distance of Drone for a Single Flight */
9
/* The Speed of the Drone (alpha, Speed ratio of Truck and Drone)*/
1.5
/* The Locations ( x_coor ; y_coor ; Name ) */
4.483328303756558;  27.334145865810278;  Depot
11.03890434454351;  23.06402059427095;  v_1
14.295758977927036;  11.868382092741484;  v_2
4.820920960117483;  34.214832709443996;  v_3
18.764470319390675;  -34.28066210801952;  v_4
-11.35113228695402;  2.5786940942764573;  v_5
16.344166451302172;  -22.503368224870485;  v_6
23.147847534237343;  -9.436748634988692;  v_7
3.0326407816767613;  -10.735770499865406;  v_8
-16.887629534243686;  -25.574073384008603;  v_9
-2.178515635601144;  32.141556795441616;  v_10
-26.697747098631268;  30.62663777939113;  v_11
-10.111699761523905;  -32.577721763239616;  v_12
27.642605630109095;  -30.47940360860775;  v_13
-33.43449183932003;  -3.6635165743500906;  v_14
