/* The Number of Nodes */
15
/* The Size of the Map */
30
/* The maximum Flight Distance of Drone for a Single Flight */
6
/* The Speed of the Drone (alpha, Speed ratio of Truck and Drone)*/
1.5
/* The Locations ( x_coor ; y_coor ; Name ) */
10.275210017767868;  25.0674796187213;  Depot
-19.47462579209364;  26.1417321517864;  v_1
-9.155148457994216;  25.563359614761517;  v_2
-22.67992345965875;  -28.550309440161474;  v_3
24.305733200221027;  16.768791105085526;  v_4
16.220676027701032;  18.077964719736634;  v_5
21.29919286673148;  3.1273324658445745;  v_6
22.822998752968978;  -23.36707506721018;  v_7
-15.81711004364374;  -19.21763365146462;  v_8
-11.02906772743751;  10.086092473189439;  v_9
6.832464986842197;  9.264506003538045;  v_10
24.407444816530607;  -23.155647078183854;  v_11
-6.021888446538448;  18.258529137798412;  v_12
25.280390902301825;  -0.6312201959304673;  v_13
-16.04404255977092;  -2.850624958259676;  v_14
