/* The Number of Nodes */
20
/* The Size of the Map */
40
/* The maximum Flight Distance of Drone for a Single Flight */
10
/* The Speed of the Drone (alpha, Speed ratio of Truck and Drone)*/
2.5
/* The Locations ( x_coor ; y_coor ; Name ) */
-18.721914573306606;  30.92194293715795;  Depot
-16.21669619564156;  36.42475984541788;  v_1
-5.643036323224777;  4.554402299980367;  v_2
-32.72957286415508;  -15.61799646140414;  v_3
22.58815543364925;  -33.85293225843487;  v_4
-27.908728843473156;  28.684467824583237;  v_5
-35.27375459762105;  23.316541866783837;  v_6
-34.80085250847762;  5.446447491386515;  v_7
-14.040399501938914;  -37.06231025844498;  v_8
37.53791936199062;  -24.61068753867078;  v_9
-38.30469856089577;  -11.363673005341262;  v_10
-18.598255202501655;  -30.84661069095788;  v_11
-17.11507600587006;  -33.39010352428369;  v_12
39.951229471538625;  -12.340898934768791;  v_13
-30.46106976685781;  18.330517843912766;  v_14
-39.565542736845146;  -9.208556693247843;  v_15
-20.92510621208583;  17.122027690973496;  v_16
-39.35966290315594;  20.00922879913866;  v_17
9.528707698481512;  32.5502628078747;  v_18
33.85852598380154;  -24.65429649137353;  v_19
